1,-1.588491,-2.030997,1.200000,0.414592,-0.856348,-0.528692,1.470443,-0.474017,-0.361476,1.368824,-0.232280,-0.156426,1.406642,0.210138,-0.197504,1.420440,0.486709,-0.464173,1.429392,0.951373,-0.744237,1.635008,0.715556,2.861517,-5.240079,3.670503,-0.944881,6.408153,-13.485360,6.438225,0.395784,-0.542402,8.459688,-16.172006,10.071187,-2.167426,1.518584
1,-1.596640,-2.021832,1.200000,0.406293,-0.856348,-0.528692,1.470443,-0.474017,-0.361476,1.368824,-0.232280,-0.156426,1.406642,0.210138,-0.197504,1.420440,0.486709,-0.464173,1.429392,0.951373,-0.744237,1.635008,0.715556,2.861517,-5.240079,3.670503,-0.944881,6.408153,-13.485360,6.438225,0.395784,-0.542402,8.459688,-16.172006,10.071187,-2.167426,1.518584
1,-1.610538,-2.016320,1.200000,0.416988,-0.856348,-0.528692,1.470443,-0.474017,-0.361476,1.368824,-0.232280,-0.156426,1.406642,0.210138,-0.197504,1.420440,0.486709,-0.464173,1.429392,0.951373,-0.744237,1.635008,0.715556,2.861517,-5.240079,3.670503,-0.944881,6.408153,-13.485360,6.438225,0.395784,-0.542402,8.459688,-16.172006,10.071187,-2.167426,1.518584
1,-1.591399,-2.042796,1.200000,0.435198,-0.856348,-0.528692,1.470443,-0.474017,-0.361476,1.368824,-0.232280,-0.156426,1.406642,0.210138,-0.197504,1.420440,0.486709,-0.464173,1.429392,0.951373,-0.744237,1.635008,0.715556,2.861517,-5.240079,3.670503,-0.944881,6.408153,-13.485360,6.438225,0.395784,-0.542402,8.459688,-16.172006,10.071187,-2.167426,1.518584
1,-1.597682,-2.004481,1.200000,0.427899,-0.856348,-0.528692,1.470443,-0.474017,-0.361476,1.368824,-0.232280,-0.156426,1.406642,0.210138,-0.197504,1.420440,0.486709,-0.464173,1.429392,0.951373,-0.744237,1.635008,0.715556,2.861517,-5.240079,3.670503,-0.944881,6.408153,-13.485360,6.438225,0.395784,-0.542402,8.459688,-16.172006,10.071187,-2.167426,1.518584
2,-0.770880,-1.359077,1.200000,0.651194,-1.121803,-1.166797,1.707682,-0.612238,-0.711890,1.508473,-0.297794,-0.262523,1.453804,0.226099,-0.296171,1.459863,0.552909,-0.755198,1.538614,1.116020,-1.199081,1.792475,0.840333,3.953657,-7.236655,4.935605,-1.240732,11.437212,-22.604316,8.844811,2.294894,-1.229349,6.061085,-11.722929,8.462562,-2.701730,1.770117
2,-0.779201,-1.377535,1.200000,0.654630,-1.121803,-1.166797,1.707682,-0.612238,-0.711890,1.508473,-0.297794,-0.262523,1.453804,0.226099,-0.296171,1.459863,0.552909,-0.755198,1.538614,1.116020,-1.199081,1.792475,0.840333,3.953657,-7.236655,4.935605,-1.240732,11.437212,-22.604316,8.844811,2.294894,-1.229349,6.061085,-11.722929,8.462562,-2.701730,1.770117
2,-0.792044,-1.362819,1.200000,0.643313,-1.121803,-1.166797,1.707682,-0.612238,-0.711890,1.508473,-0.297794,-0.262523,1.453804,0.226099,-0.296171,1.459863,0.552909,-0.755198,1.538614,1.116020,-1.199081,1.792475,0.840333,3.953657,-7.236655,4.935605,-1.240732,11.437212,-22.604316,8.844811,2.294894,-1.229349,6.061085,-11.722929,8.462562,-2.701730,1.770117
2,-0.760231,-1.363999,1.200000,0.649368,-1.121803,-1.166797,1.707682,-0.612238,-0.711890,1.508473,-0.297794,-0.262523,1.453804,0.226099,-0.296171,1.459863,0.552909,-0.755198,1.538614,1.116020,-1.199081,1.792475,0.840333,3.953657,-7.236655,4.935605,-1.240732,11.437212,-22.604316,8.844811,2.294894,-1.229349,6.061085,-11.722929,8.462562,-2.701730,1.770117
2,-0.764055,-1.355815,1.200000,0.650454,-1.121803,-1.166797,1.707682,-0.612238,-0.711890,1.508473,-0.297794,-0.262523,1.453804,0.226099,-0.296171,1.459863,0.552909,-0.755198,1.538614,1.116020,-1.199081,1.792475,0.840333,3.953657,-7.236655,4.935605,-1.240732,11.437212,-22.604316,8.844811,2.294894,-1.229349,6.061085,-11.722929,8.462562,-2.701730,1.770117
